Timestamp,GHI_Wm2,AOD_Dust,Tamb_C,Tcell_C,PlantCapacity_kWp,Pout_kW
01/02/2023 13:00,88.74,0.419,10.19,12.96,300.0,22.17
01/02/2023 14:00,187.4,0.139,11.1,16.95,300.0,56.34
01/02/2023 15:00,301.35,0.153,11.9,21.32,300.0,84.56
01/02/2023 16:00,368.0,0.25,16.05,27.55,300.0,96.49
01/02/2023 17:00,404.74,0.74,14.75,27.4,300.0,81.11
01/02/2023 18:00,394.46,0.302,13.62,25.95,300.0,100.87
01/02/2023 19:00,398.52,0.574,15.87,28.32,300.0,92.88
01/02/2023 20:00,0.0,0.561,14.83,14.83,300.0,0.0
01/02/2023 21:00,0.0,0.883,16.99,16.99,300.0,0.88
01/02/2023 22:00,0.0,0.429,15.01,15.01,300.0,0.0
01/02/2023 23:00,0.0,0.311,14.36,14.36,300.0,0.0
01/03/2023 00:00,0.0,0.157,10.64,10.64,300.0,1.12
01/03/2023 01:00,0.0,0.32,11.69,11.69,300.0,0.0
01/03/2023 02:00,0.0,0.256,10.21,10.21,300.0,0.64
01/03/2023 03:00,0.0,0.267,7.47,7.47,300.0,1.98
01/03/2023 04:00,0.0,0.26,7.47,7.47,300.0,0.47
01/03/2023 05:00,0.0,0.386,7.42,7.42,300.0,0.66
01/03/2023 06:00,0.0,0.447,5.96,5.96,300.0,0.0
01/03/2023 07:00,0.0,0.136,3.35,3.35,300.0,1.41
01/03/2023 08:00,0.0,0.204,4.89,4.89,300.0,0.0
01/03/2023 09:00,29.9,0.277,4.77,5.7,300.0,4.42
01/03/2023 10:00,0.0,0.381,6.26,6.26,300.0,1.65
01/03/2023 11:00,19.37,0.275,6.89,7.5,300.0,7.69
01/03/2023 12:00,0.0,0.649,7.18,7.18,300.0,2.96
01/03/2023 13:00,99.15,0.331,8.33,11.43,300.0,30.92
01/03/2023 14:00,207.75,0.174,10.4,16.89,300.0,60.53
01/03/2023 15:00,300.92,0.37,13.04,22.44,300.0,76.85
01/03/2023 16:00,368.41,0.29,13.22,24.73,300.0,97.93
01/03/2023 17:00,410.91,0.218,15.97,28.81,300.0,107.1
01/03/2023 18:00,402.01,0.155,16.33,28.89,300.0,106.52
01/03/2023 19:00,385.8,0.148,17.37,29.43,300.0,104.66
01/03/2023 20:00,0.0,0.162,17.35,17.35,300.0,2.55
01/03/2023 21:00,0.0,0.211,17.47,17.47,300.0,0.0
01/03/2023 22:00,0.0,0.308,12.9,12.9,300.0,0.93
01/03/2023 23:00,0.0,0.417,14.81,14.81,300.0,1.15
01/04/2023 00:00,0.0,0.162,14.67,14.67,300.0,0.49
01/04/2023 01:00,0.0,0.146,13.74,13.74,300.0,0.0
01/04/2023 02:00,0.0,0.183,9.19,9.19,300.0,0.69
01/04/2023 03:00,0.0,0.357,10.03,10.03,300.0,0.0
01/04/2023 04:00,0.0,0.158,7.96,7.96,300.0,3.41
01/04/2023 05:00,0.0,0.344,9.58,9.58,300.0,2.27
01/04/2023 06:00,12.51,0.341,3.93,4.32,300.0,2.65
01/04/2023 07:00,0.0,0.381,4.36,4.36,300.0,3.53
01/04/2023 08:00,9.14,0.193,2.63,2.91,300.0,3.4
01/04/2023 09:00,0.0,0.214,5.73,5.73,300.0,0.0
01/04/2023 10:00,0.0,0.279,9.41,9.41,300.0,0.0
01/04/2023 11:00,0.0,1.103,6.74,6.74,300.0,3.27
01/04/2023 12:00,0.0,0.199,7.99,7.99,300.0,0.0
01/04/2023 13:00,115.93,0.277,9.87,13.5,300.0,31.54
01/04/2023 14:00,195.75,0.548,10.17,16.29,300.0,43.5
01/04/2023 15:00,290.36,0.24,12.19,21.26,300.0,76.03
01/04/2023 16:00,364.93,0.231,13.43,24.83,300.0,95.93
01/04/2023 17:00,405.23,0.197,12.61,25.27,300.0,107.61
01/04/2023 18:00,423.59,0.273,14.53,27.77,300.0,108.44
01/04/2023 19:00,394.33,0.175,16.29,28.61,300.0,110.31
01/04/2023 20:00,0.0,0.23,16.74,16.74,300.0,0.0
01/04/2023 21:00,0.0,0.204,17.12,17.12,300.0,1.57
01/04/2023 22:00,0.0,0.365,15.18,15.18,300.0,2.18
01/04/2023 23:00,0.0,0.243,14.41,14.41,300.0,0.0
01/05/2023 00:00,0.0,0.185,14.01,14.01,300.0,0.0
01/05/2023 01:00,0.0,0.278,10.79,10.79,300.0,1.53
01/05/2023 02:00,0.0,0.232,9.44,9.44,300.0,0.0
01/05/2023 03:00,0.0,0.196,8.91,8.91,300.0,1.4
01/05/2023 04:00,0.0,0.154,5.98,5.98,300.0,3.35
01/05/2023 05:00,0.0,0.293,7.46,7.46,300.0,0.0
01/05/2023 06:00,0.0,0.467,7.63,7.63,300.0,0.0
01/05/2023 07:00,14.75,0.163,4.49,4.95,300.0,4.01
01/05/2023 08:00,0.0,0.205,6.04,6.04,300.0,0.0
01/05/2023 09:00,0.0,0.276,4.62,4.62,300.0,0.0
01/05/2023 10:00,0.0,0.16,4.53,4.53,300.0,0.0
01/05/2023 11:00,0.0,0.153,9.94,9.94,300.0,0.0
01/05/2023 12:00,16.81,0.143,6.39,6.91,300.0,5.36
01/05/2023 13:00,72.0,0.14,7.18,9.43,300.0,23.31
01/05/2023 14:00,214.52,0.148,10.71,17.41,300.0,61.54
01/05/2023 15:00,295.84,0.185,12.09,21.33,300.0,84.33
01/05/2023 16:00,344.63,0.337,13.89,24.66,300.0,86.31
01/05/2023 17:00,368.71,0.34,16.93,28.45,300.0,89.64
01/05/2023 18:00,413.1,0.237,13.55,26.46,300.0,108.85
01/05/2023 19:00,387.04,0.377,14.35,26.45,300.0,96.54
01/05/2023 20:00,0.0,0.243,17.8,17.8,300.0,1.72
01/05/2023 21:00,0.0,0.149,16.63,16.63,300.0,2.92
01/05/2023 22:00,0.0,0.214,15.92,15.92,300.0,0.58
01/05/2023 23:00,0.0,0.247,13.04,13.04,300.0,1.51
01/06/2023 00:00,0.0,0.226,14.63,14.63,300.0,2.74
01/06/2023 01:00,0.0,0.283,12.94,12.94,300.0,0.0
01/06/2023 02:00,0.0,0.186,10.72,10.72,300.0,0.0
01/06/2023 03:00,0.0,0.329,8.27,8.27,300.0,5.54
01/06/2023 04:00,0.0,0.32,8.1,8.1,300.0,1.71
01/06/2023 05:00,0.0,0.172,9.37,9.37,300.0,1.02
01/06/2023 06:00,29.27,0.45,4.47,5.38,300.0,9.35
01/06/2023 07:00,0.0,0.211,4.41,4.41,300.0,0.0
01/06/2023 08:00,0.0,0.399,4.5,4.5,300.0,0.0
01/06/2023 09:00,0.0,0.248,4.99,4.99,300.0,0.0
01/06/2023 10:00,0.0,0.151,6.08,6.08,300.0,0.84
01/06/2023 11:00,0.0,0.165,8.34,8.34,300.0,0.0
01/06/2023 12:00,12.7,0.565,8.63,9.03,300.0,3.25
01/06/2023 13:00,102.48,0.23,9.23,12.44,300.0,28.16
01/06/2023 14:00,177.15,0.341,10.85,16.39,300.0,43.12
01/06/2023 15:00,271.82,0.251,12.67,21.16,300.0,74.81
01/06/2023 16:00,364.05,0.198,10.42,21.79,300.0,96.7
01/06/2023 17:00,415.82,0.484,15.58,28.57,300.0,95.11
01/06/2023 18:00,453.06,0.208,13.53,27.69,300.0,118.58
01/06/2023 19:00,457.33,0.294,14.6,28.89,300.0,114.84
01/06/2023 20:00,0.0,0.163,15.95,15.95,300.0,0.4
01/06/2023 21:00,0.0,0.179,15.15,15.15,300.0,2.47
01/06/2023 22:00,0.0,0.648,15.5,15.5,300.0,0.0
01/06/2023 23:00,0.0,0.411,14.19,14.19,300.0,0.0
01/07/2023 00:00,0.0,0.643,12.56,12.56,300.0,0.0
01/07/2023 01:00,0.0,0.555,14.08,14.08,300.0,0.0
01/07/2023 02:00,0.0,0.335,11.55,11.55,300.0,0.14
01/07/2023 03:00,0.0,0.38,9.65,9.65,300.0,1.53
01/07/2023 04:00,0.0,0.491,9.03,9.03,300.0,0.0
01/07/2023 05:00,0.0,0.199,5.9,5.9,300.0,1.1
01/07/2023 06:00,0.0,0.178,9.42,9.42,300.0,0.0
01/07/2023 07:00,0.0,0.151,4.03,4.03,300.0,0.0
01/07/2023 08:00,0.0,0.277,5.66,5.66,300.0,0.13
01/07/2023 09:00,0.0,0.175,5.23,5.23,300.0,1.25
01/07/2023 10:00,0.0,0.249,5.67,5.67,300.0,0.0
01/07/2023 11:00,35.36,0.214,6.27,7.38,300.0,8.02
01/07/2023 12:00,2.61,0.301,6.83,6.91,300.0,0.52
01/07/2023 13:00,126.98,0.154,10.98,14.95,300.0,35.25
01/07/2023 14:00,197.36,0.306,8.68,14.85,300.0,54.09
01/07/2023 15:00,269.53,0.15,13.26,21.68,300.0,78.19
01/07/2023 16:00,339.82,0.2,13.96,24.58,300.0,94.45
01/07/2023 17:00,386.05,0.323,13.45,25.52,300.0,98.32
01/07/2023 18:00,457.25,0.175,15.62,29.91,300.0,125.48
01/07/2023 19:00,384.13,0.425,15.08,27.09,300.0,90.38
01/07/2023 20:00,0.0,0.582,13.84,13.84,300.0,3.57
01/07/2023 21:00,0.0,0.193,13.68,13.68,300.0,0.0
01/07/2023 22:00,0.0,0.306,15.8,15.8,300.0,0.0
01/07/2023 23:00,0.0,0.152,14.93,14.93,300.0,2.73
01/08/2023 00:00,0.0,0.505,13.41,13.41,300.0,0.0
01/08/2023 01:00,0.0,0.181,11.25,11.25,300.0,0.23
01/08/2023 02:00,0.0,0.583,10.26,10.26,300.0,0.0
01/08/2023 03:00,0.0,0.246,8.76,8.76,300.0,4.73
01/08/2023 04:00,0.0,0.176,5.42,5.42,300.0,3.64
01/08/2023 05:00,0.0,0.184,7.1,7.1,300.0,3.09
01/08/2023 06:00,0.0,0.548,7.0,7.0,300.0,0.18
01/08/2023 07:00,3.45,0.245,5.82,5.92,300.0,2.95
01/08/2023 08:00,31.58,0.414,8.2,9.18,300.0,8.09
01/08/2023 09:00,3.2,0.284,4.21,4.31,300.0,3.15
01/08/2023 10:00,0.0,0.37,5.22,5.22,300.0,0.0
01/08/2023 11:00,5.72,0.183,7.21,7.39,300.0,4.85
01/08/2023 12:00,26.12,0.248,8.41,9.23,300.0,6.44
01/08/2023 13:00,112.14,0.269,6.4,9.9,300.0,30.5
01/08/2023 14:00,199.94,0.235,11.45,17.7,300.0,53.97
01/08/2023 15:00,316.51,0.24,12.21,22.1,300.0,85.6
01/08/2023 16:00,369.12,0.533,9.86,21.4,300.0,85.28
01/08/2023 17:00,432.85,0.489,13.9,27.43,300.0,101.71
01/08/2023 18:00,419.99,0.281,13.66,26.79,300.0,107.74
01/08/2023 19:00,377.65,0.158,14.69,26.5,300.0,105.67
01/08/2023 20:00,0.0,0.178,13.54,13.54,300.0,3.04
01/08/2023 21:00,0.0,0.285,16.0,16.0,300.0,0.16
01/08/2023 22:00,0.0,0.16,17.52,17.52,300.0,4.44
01/08/2023 23:00,0.0,0.182,14.48,14.48,300.0,2.26
01/09/2023 00:00,0.0,0.239,9.86,9.86,300.0,4.28
01/09/2023 01:00,0.0,0.24,12.32,12.32,300.0,0.0
01/09/2023 02:00,0.0,0.242,10.31,10.31,300.0,0.0
01/09/2023 03:00,0.0,0.154,7.66,7.66,300.0,0.0
01/09/2023 04:00,0.0,0.172,8.63,8.63,300.0,0.0
01/09/2023 05:00,0.0,0.432,8.39,8.39,300.0,0.0
01/09/2023 06:00,0.0,0.222,5.27,5.27,300.0,0.0
01/09/2023 07:00,0.0,0.707,3.31,3.31,300.0,2.05
01/09/2023 08:00,6.75,0.167,2.58,2.79,300.0,0.0
01/09/2023 09:00,28.15,0.324,4.77,5.65,300.0,9.6
01/09/2023 10:00,1.81,0.21,6.04,6.09,300.0,4.9
01/09/2023 11:00,12.88,0.214,6.29,6.69,300.0,2.17
01/09/2023 12:00,0.0,0.494,7.08,7.08,300.0,0.78
01/09/2023 13:00,107.22,0.841,10.16,13.51,300.0,21.31
01/09/2023 14:00,192.16,0.487,11.3,17.3,300.0,48.25
01/09/2023 15:00,271.22,0.597,12.19,20.67,300.0,59.04
01/09/2023 16:00,344.47,0.325,14.33,25.09,300.0,87.55
01/09/2023 17:00,397.12,0.504,13.15,25.56,300.0,94.65
01/09/2023 18:00,436.36,0.16,13.29,26.93,300.0,119.86
01/09/2023 19:00,377.27,0.261,14.65,26.44,300.0,95.54
01/09/2023 20:00,0.0,0.253,14.71,14.71,300.0,2.48
01/09/2023 21:00,0.0,0.191,12.35,12.35,300.0,0.0
01/09/2023 22:00,0.0,0.195,14.11,14.11,300.0,0.16
01/09/2023 23:00,0.0,0.264,15.79,15.79,300.0,1.17
01/10/2023 00:00,0.0,0.155,14.36,14.36,300.0,0.24
01/10/2023 01:00,0.0,0.292,12.74,12.74,300.0,5.07
01/10/2023 02:00,0.0,0.16,10.86,10.86,300.0,1.47
01/10/2023 03:00,0.0,0.185,11.54,11.54,300.0,0.0
01/10/2023 04:00,0.0,0.268,6.57,6.57,300.0,1.21
01/10/2023 05:00,0.0,0.189,5.68,5.68,300.0,0.42
01/10/2023 06:00,3.53,0.795,8.02,8.13,300.0,0.85
01/10/2023 07:00,0.0,0.27,5.87,5.87,300.0,0.49
01/10/2023 08:00,1.81,0.289,4.65,4.71,300.0,0.0
01/10/2023 09:00,4.56,0.152,6.66,6.8,300.0,1.79
01/10/2023 10:00,50.35,0.56,5.67,7.25,300.0,11.22
01/10/2023 11:00,37.54,0.245,5.87,7.04,300.0,6.89
01/10/2023 12:00,0.0,0.184,6.86,6.86,300.0,2.28
01/10/2023 13:00,102.92,0.204,9.85,13.07,300.0,28.09
01/10/2023 14:00,180.66,0.418,10.97,16.62,300.0,45.74
01/10/2023 15:00,285.06,0.644,14.23,23.14,300.0,60.94
01/10/2023 16:00,369.91,0.263,12.73,24.29,300.0,96.14
01/10/2023 17:00,429.66,0.185,13.74,27.16,300.0,114.44
01/10/2023 18:00,405.27,0.172,17.15,29.82,300.0,111.35
01/10/2023 19:00,392.46,0.149,16.97,29.23,300.0,109.81
01/10/2023 20:00,0.0,0.226,15.88,15.88,300.0,0.05
01/10/2023 21:00,0.0,0.59,13.15,13.15,300.0,0.0
01/10/2023 22:00,0.0,0.338,13.77,13.77,300.0,0.0
01/10/2023 23:00,0.0,0.187,12.62,12.62,300.0,1.59
01/11/2023 00:00,0.0,0.288,13.28,13.28,300.0,0.0
01/11/2023 01:00,0.0,0.232,11.26,11.26,300.0,0.0
01/11/2023 02:00,0.0,0.253,13.13,13.13,300.0,0.06
01/11/2023 03:00,0.0,0.313,7.07,7.07,300.0,0.0
01/11/2023 04:00,0.0,0.179,6.48,6.48,300.0,0.0
01/11/2023 05:00,0.0,0.369,7.56,7.56,300.0,0.0
01/11/2023 06:00,0.0,0.685,7.18,7.18,300.0,0.67
01/11/2023 07:00,36.74,0.154,2.01,3.16,300.0,9.78
01/11/2023 08:00,58.1,0.329,3.12,4.94,300.0,17.0
01/11/2023 09:00,0.0,0.301,5.5,5.5,300.0,0.29
01/11/2023 10:00,0.0,0.165,8.43,8.43,300.0,2.1
01/11/2023 11:00,6.83,0.28,10.02,10.23,300.0,0.22
01/11/2023 12:00,34.57,0.208,7.6,8.68,300.0,10.42
01/11/2023 13:00,89.42,0.416,9.17,11.97,300.0,24.21
01/11/2023 14:00,205.96,0.378,9.47,15.91,300.0,51.78
01/11/2023 15:00,313.76,0.716,12.97,22.77,300.0,68.65
01/11/2023 16:00,373.93,0.277,15.52,27.2,300.0,93.51
01/11/2023 17:00,399.84,0.158,16.14,28.64,300.0,107.56
01/11/2023 18:00,419.06,0.158,15.01,28.11,300.0,111.35
01/11/2023 19:00,379.87,0.165,14.3,26.17,300.0,103.01
01/11/2023 20:00,0.0,0.221,15.74,15.74,300.0,0.0
01/11/2023 21:00,0.0,0.441,17.63,17.63,300.0,1.66
01/11/2023 22:00,0.0,0.23,14.45,14.45,300.0,0.0
01/11/2023 23:00,0.0,0.16,11.54,11.54,300.0,0.0
01/12/2023 00:00,0.0,0.452,12.75,12.75,300.0,0.0
01/12/2023 01:00,0.0,0.474,11.67,11.67,300.0,0.0
01/12/2023 02:00,0.0,0.166,8.06,8.06,300.0,0.62
01/12/2023 03:00,0.0,0.272,9.84,9.84,300.0,1.76
01/12/2023 04:00,0.0,0.221,9.05,9.05,300.0,0.0
01/12/2023 05:00,0.0,0.299,10.04,10.04,300.0,2.42
01/12/2023 06:00,0.0,0.564,4.46,4.46,300.0,0.0
01/12/2023 07:00,6.33,0.2,7.06,7.25,300.0,1.06
01/12/2023 08:00,0.0,0.522,7.24,7.24,300.0,0.0
01/12/2023 09:00,41.86,0.283,6.74,8.05,300.0,14.7
01/12/2023 10:00,31.47,0.29,4.95,5.93,300.0,9.06
01/12/2023 11:00,7.72,0.28,5.66,5.9,300.0,0.0
01/12/2023 12:00,0.0,0.293,8.44,8.44,300.0,1.9
01/12/2023 13:00,87.42,0.199,9.63,12.36,300.0,28.64
01/12/2023 14:00,235.68,0.226,9.95,17.32,300.0,64.61
01/12/2023 15:00,304.86,0.458,14.02,23.55,300.0,71.37
01/12/2023 16:00,376.55,0.207,12.69,24.46,300.0,103.84
01/12/2023 17:00,374.38,0.597,11.49,23.18,300.0,87.89
01/12/2023 18:00,442.26,0.221,14.78,28.6,300.0,118.83
01/12/2023 19:00,418.36,0.276,16.34,29.41,300.0,104.19
01/12/2023 20:00,0.0,0.36,16.3,16.3,300.0,1.51
01/12/2023 21:00,0.0,0.587,16.12,16.12,300.0,0.81
01/12/2023 22:00,0.0,0.167,17.36,17.36,300.0,0.0
01/12/2023 23:00,0.0,0.442,12.65,12.65,300.0,2.58
01/13/2023 00:00,0.0,0.315,12.72,12.72,300.0,0.88
01/13/2023 01:00,0.0,0.249,14.47,14.47,300.0,2.63
01/13/2023 02:00,0.0,0.256,7.91,7.91,300.0,0.0
01/13/2023 03:00,0.0,0.175,9.48,9.48,300.0,0.8
01/13/2023 04:00,0.0,0.193,10.2,10.2,300.0,0.0
01/13/2023 05:00,0.0,0.189,9.14,9.14,300.0,0.5
01/13/2023 06:00,0.0,0.21,7.52,7.52,300.0,2.95
01/13/2023 07:00,3.53,0.326,7.06,7.17,300.0,0.0
01/13/2023 08:00,5.92,0.335,4.3,4.48,300.0,0.0
01/13/2023 09:00,0.0,0.382,8.09,8.09,300.0,1.91
01/13/2023 10:00,0.0,0.439,4.73,4.73,300.0,0.0
01/13/2023 11:00,6.56,0.243,5.61,5.82,300.0,4.22
01/13/2023 12:00,34.55,0.663,8.94,10.02,300.0,6.27
01/13/2023 13:00,79.52,0.156,8.83,11.31,300.0,23.38
01/13/2023 14:00,230.16,0.345,11.17,18.36,300.0,61.04
01/13/2023 15:00,294.49,0.305,12.8,22.0,300.0,77.2
01/13/2023 16:00,367.49,0.173,16.03,27.51,300.0,96.53
01/13/2023 17:00,390.2,0.489,15.04,27.24,300.0,96.53
01/13/2023 18:00,419.07,0.432,14.26,27.36,300.0,100.8
01/13/2023 19:00,437.26,0.569,16.7,30.37,300.0,93.91
01/13/2023 20:00,0.0,0.183,14.61,14.61,300.0,0.63
01/13/2023 21:00,0.0,0.188,17.06,17.06,300.0,0.86
01/13/2023 22:00,0.0,0.248,15.29,15.29,300.0,1.99
01/13/2023 23:00,0.0,0.174,15.0,15.0,300.0,1.85
01/14/2023 00:00,0.0,0.248,10.76,10.76,300.0,0.0
01/14/2023 01:00,0.0,0.342,8.85,8.85,300.0,0.0
01/14/2023 02:00,0.0,0.211,8.68,8.68,300.0,0.92
01/14/2023 03:00,0.0,0.341,12.25,12.25,300.0,0.0
01/14/2023 04:00,0.0,0.203,6.71,6.71,300.0,2.43
01/14/2023 05:00,0.0,0.212,8.49,8.49,300.0,0.0
01/14/2023 06:00,19.79,0.626,5.64,6.26,300.0,5.94
01/14/2023 07:00,0.0,0.159,5.74,5.74,300.0,0.0
01/14/2023 08:00,15.65,0.371,5.86,6.35,300.0,3.21
01/14/2023 09:00,0.0,0.271,8.57,8.57,300.0,0.0
01/14/2023 10:00,23.42,0.258,7.48,8.21,300.0,8.02
01/14/2023 11:00,15.02,0.2,7.97,8.44,300.0,3.1
01/14/2023 12:00,36.41,0.307,10.37,11.51,300.0,11.41
01/14/2023 13:00,125.36,0.22,8.69,12.6,300.0,34.18
01/14/2023 14:00,182.51,0.213,12.53,18.24,300.0,50.11
01/14/2023 15:00,301.23,0.213,13.58,22.99,300.0,81.98
01/14/2023 16:00,347.13,0.206,14.76,25.61,300.0,94.06
01/14/2023 17:00,402.95,0.165,14.23,26.83,300.0,108.66
01/14/2023 18:00,458.12,0.77,14.6,28.92,300.0,93.5
01/14/2023 19:00,426.07,0.213,14.45,27.77,300.0,113.12
01/14/2023 20:00,0.0,0.272,14.72,14.72,300.0,1.09
01/14/2023 21:00,0.0,0.297,14.38,14.38,300.0,0.0
01/14/2023 22:00,0.0,0.172,15.81,15.81,300.0,1.17
01/14/2023 23:00,0.0,0.647,14.12,14.12,300.0,0.0
01/15/2023 00:00,0.0,0.232,14.15,14.15,300.0,0.0
01/15/2023 01:00,0.0,0.189,13.03,13.03,300.0,0.85
01/15/2023 02:00,0.0,0.191,9.41,9.41,300.0,0.0
01/15/2023 03:00,0.0,0.233,8.07,8.07,300.0,2.92
01/15/2023 04:00,0.0,0.255,8.16,8.16,300.0,0.14
01/15/2023 05:00,0.0,0.225,6.31,6.31,300.0,0.0
01/15/2023 06:00,1.44,0.178,5.35,5.4,300.0,0.0
01/15/2023 07:00,8.28,0.167,8.72,8.98,300.0,0.43
01/15/2023 08:00,32.32,0.376,3.7,4.71,300.0,10.83
01/15/2023 09:00,0.0,0.41,9.21,9.21,300.0,1.55
01/15/2023 10:00,0.0,0.18,7.11,7.11,300.0,0.0
01/15/2023 11:00,11.82,0.309,8.95,9.32,300.0,3.81
01/15/2023 12:00,0.0,0.361,9.81,9.81,300.0,0.0
01/15/2023 13:00,140.84,0.463,10.64,15.04,300.0,36.58
01/15/2023 14:00,222.42,0.492,13.5,20.45,300.0,54.19
01/15/2023 15:00,321.07,0.256,10.67,20.71,300.0,87.61
01/15/2023 16:00,361.07,0.247,13.27,24.55,300.0,95.54
01/15/2023 17:00,431.73,0.368,13.26,26.75,300.0,105.76
01/15/2023 18:00,451.48,0.29,12.79,26.9,300.0,117.62
01/15/2023 19:00,420.11,0.194,14.84,27.97,300.0,116.17
01/15/2023 20:00,0.0,0.162,18.81,18.81,300.0,2.21
01/15/2023 21:00,0.0,0.508,15.57,15.57,300.0,3.16
01/15/2023 22:00,0.0,0.217,18.31,18.31,300.0,0.32
01/15/2023 23:00,0.0,0.209,17.67,17.67,300.0,0.0
01/16/2023 00:00,0.0,0.526,18.07,18.07,300.0,0.0
01/16/2023 01:00,0.0,0.259,15.23,15.23,300.0,2.76
01/16/2023 02:00,0.0,0.186,14.62,14.62,300.0,0.0
01/16/2023 03:00,0.0,0.417,10.27,10.27,300.0,3.01
01/16/2023 04:00,0.0,0.176,8.92,8.92,300.0,0.0
01/16/2023 05:00,0.0,0.726,7.99,7.99,300.0,3.85
01/16/2023 06:00,0.0,0.279,6.75,6.75,300.0,0.0
01/16/2023 07:00,0.0,0.378,6.48,6.48,300.0,1.45
01/16/2023 08:00,4.05,0.337,7.21,7.33,300.0,5.87
01/16/2023 09:00,16.89,0.268,5.55,6.08,300.0,4.11
01/16/2023 10:00,0.23,0.255,4.68,4.69,300.0,0.0
01/16/2023 11:00,26.58,0.29,8.09,8.92,300.0,5.95
01/16/2023 12:00,17.14,0.208,7.54,8.08,300.0,2.94
01/16/2023 13:00,128.75,0.327,8.9,12.93,300.0,33.73
01/16/2023 14:00,227.29,0.192,10.87,17.97,300.0,62.58
01/16/2023 15:00,352.31,0.197,11.82,22.83,300.0,94.13
01/16/2023 16:00,370.37,0.323,15.25,26.82,300.0,93.45
01/16/2023 17:00,377.6,0.465,14.37,26.17,300.0,90.29
01/16/2023 18:00,464.49,0.428,17.15,31.67,300.0,107.71
01/16/2023 19:00,408.52,0.184,16.22,28.99,300.0,109.68
01/16/2023 20:00,0.0,0.223,15.95,15.95,300.0,2.81
01/16/2023 21:00,0.0,0.661,16.15,16.15,300.0,0.0
01/16/2023 22:00,0.0,0.372,13.47,13.47,300.0,3.86
01/16/2023 23:00,0.0,0.471,15.12,15.12,300.0,0.0
01/17/2023 00:00,0.0,0.286,14.93,14.93,300.0,0.4
01/17/2023 01:00,0.0,0.541,13.94,13.94,300.0,2.56
01/17/2023 02:00,0.0,0.191,9.13,9.13,300.0,3.17
01/17/2023 03:00,0.0,0.236,7.59,7.59,300.0,0.94
01/17/2023 04:00,0.0,0.444,7.85,7.85,300.0,0.0
01/17/2023 05:00,0.0,0.226,9.7,9.7,300.0,0.0
01/17/2023 06:00,0.0,0.265,7.16,7.16,300.0,0.0
01/17/2023 07:00,1.09,0.228,5.17,5.2,300.0,4.09
01/17/2023 08:00,0.0,0.212,3.98,3.98,300.0,0.0
01/17/2023 09:00,9.19,0.45,5.3,5.59,300.0,3.02
01/17/2023 10:00,14.04,0.251,5.7,6.14,300.0,1.91
01/17/2023 11:00,2.76,0.298,9.03,9.11,300.0,0.0
